"shapeid","OBJECTID","ILCEKN","ILCE_ADI","KIMLIKNO","AD","YAKA","KARAR_NO","KARAR_TARI","GLOBALID","CREATED_US","CREATED_DA","LAST_EDITE","LAST_EDI_1","TANITIMKOD","SHAPE_Leng","SHAPE_Area","area","perimeter"
"72.0","73","2054","39","40771","SAFA","1","NULL","1899-12-30","{404F001D-F125-4906-8671-797CEFB59B6E}","NULL","NULL","NULL","NULL","11","4119.02800696","852117.745527","9.120517620431201e-05","0.04431375633384871"
"73.0","74","2048","33","40908","YEÞÝLBAYIR","2","NULL","1899-12-30","{5F13550C-C5D4-4252-BEC9-3E55AE2FB877}","NULL","NULL","NULL","NULL","16","24027.2520878","14174921.8626","0.0015196403210211429","0.24522880033224362"
"74.0","75","1708","25","40810","KULELÝ","1","NULL","1899-12-30","{30BA72DD-24D4-4241-AA11-8EE2DC33CE11}","NULL","NULL","NULL","NULL","50","3619.37579513","729581.072152","7.814123125626793e-05","0.03814066934128914"
"75.0","76","2004","4","40164","SANCAKTEPE","2","NULL","1899-12-30","{24E188B1-4970-4CFD-9CF6-69E3F8F93C59}","NULL","NULL","NULL","NULL","10","2767.58197377","396237.282696","4.242245722707594e-05","0.02820981681770316"
"76.0","77","1852","24","98691","ELMALIKENT","1","NULL","1899-12-30","{BC171F1F-EF53-4D29-88BD-A272E3181A06}","NULL","NULL","NULL","NULL","22","4814.99354513","1223229.93635","0.0001309714824628827","0.04939757538821401"
"77.0","78","1782","29","40929","KAMÝLOBA","2","NULL","1899-12-30","{33590DEC-9A2C-4ED0-B143-3E8CC07E4E50}","NULL","NULL","NULL","NULL","13","18762.9780098","14132680.5419","0.0015131525183278427","0.19342305336191795"
"78.0","79","1622","31","40923","MÝMAR SÝNAN","2","NULL","1899-12-30","{D17BE78D-3706-4D63-9FA4-DD033CE7AF3E}","NULL","NULL","NULL","NULL","6","20399.68194","8507331.74943","0.0009111491609701261","0.2153301880313965"
"79.0","80","2016","27","40354","HAVAALANI","2","NULL","1899-12-30","{D8756F2E-CE49-4BC5-968C-34D478189FB4}","NULL","NULL","NULL","NULL","14","3466.98199441","624284.525334","6.685680659757054e-05","0.03642579017183989"
"80.0","81","1421","15","40512","CAFERAÐA","1","NULL","1899-12-30","{71A199CE-5262-430B-9C99-4F7898B2FBED}","NULL","NULL","TERDEM","2017-02-20","6","7080.29174311","1243203.73629","0.00013300313071340497","0.07374857045861158"
"81.0","82","1185","8","40251","MERKEZ","1","NULL","1899-12-30","{56A28BDC-A2DE-48C5-8B43-4528B220CF14}","NULL","NULL","TERDEM","2017-02-08","15","11541.3672573","3542712.80272","0.00037987284736118454","0.12462011341124857"
